0,Fields group,Management of the resource,,,,,,,,,,,Metadata of the conglomerate artefact (description of the item),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Link(s) to related resources,,,0
0,,,,,,,,,,,,,Conglomerate artefact identity,,,,Related entities,,,Conglomerate artefact typology,,,,,,Conglomerate artefact format,,,,,,Copper-plates set format,,,,,,,,Date,,,,Place of original exposition,,,Place of discovery,,,,,,,Place of preservation,,,,,,,,,Rights,,,,,0
0,Fields,Identifier of the resource,Origin of the metadata,DHARMA import,Editor of the metadata,Date of the edition,Contributor of the metadata,Reviewer,Date of review,Project,Corpus,Distribution rights of the metadata,Identifier of the conglomerate artefact,Designation,Alternative designation,Alternative designation,Identifier(s) of the text(s),Identifier(s) of the artefact(s),Identifier of the monument,Artefact type 1,Reuse,Artefact type 2,Material type 1,Material type 2,Iconography and decoration,Height,Width,Depth,Diameter,Circumference,Weight,Plates (observed),Plates (estimated),Binding information,Foliation information,Preservation of seal,Sealing technique,Height of the seal,Width of the seal,CE Date,Date range,History of the artefact,Remarks,Current Availability,Place of original exposition,Place of original exposition ID,Place of discovery,Place of discovery ID,Place of discovery coordinates,discovery events 1 (type),discovery events 1 (date),discovery events 2 (type),discovery events 2 (date),Collection or place of preservation,Collection ID or place of preservation ID,Inventory number,preservation events,preservation events,preservation events,preservation events,preservation events,preservation events,Institution or private person,Distribution rights of the artefact,Identifier of the surrogate,Identifier of the digital image,Link to external repository of images,0
,,CONARTPallava000047,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000048,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000049,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000050,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000051,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000052,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000053,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000054,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000055,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000056,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000057,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000058,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000059,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000060,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000061,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000062,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000063,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000064,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000065,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000066,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000067,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000068,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000069,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000070,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000071,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000072,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000073,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000074,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000075,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000076,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000077,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000078,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000079,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000080,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000081,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000082,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000083,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000084,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000085,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000086,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000087,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000088,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
,,CONARTPallava000089,,,,,,,,DHARMA,Pallava,CC0,CONARTPallava000089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,,
