0,Fields group,Management of the resource,,,,,,,,,,,Metadata of the artefact (description of the item),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Link(s) to related resources,,0
0,,,,,,,,,,,,,Artefact identity,,,,Related entities,,,Artefact typology,,,,,,Artefact format,,,,,,Copper-plate Format,,,,,,,,,Place of original exposition,,Place of discovery,,,,,,,Place of preservation,,,,,,,,,,,Rights,,,,,0
0,Fields,Identifier of the resource,Origin of the metadata,DHARMA import,Editor of the metadata,Date of the edition,Contributor of the metadata,Reviewer,Date of review,Project,Corpus,Distribution rights of the metadata,Identifier of the artefact,Designation,Alternative designation,Alternative designation,Identifier(s) of the text(s),Identifier of the conglomerate artefact,Identifier of the monument,Artefact type 1,Material type 1,Reuse,Artefact type 2,Material type 2,Iconography and decoration,Height,Width,Depth,Diameter,Circumference,Weight,Weight other,Binding hole,Binding ring,Preservation of seal,Sealing technique,Height of the seal,Width of the seal,History of the artefact,Remarks,Place of original exposition,Place of original exposition ID,Place of discovery,Place of discovery ID,Place of discovery coordinates,Discovery events,Date of discovery events,Discovery events,Date of discovery events,Collection or place of preservation,Inventory number,Collection ID or place of preservation ID,Affirming in situ status,Place of preservation coordinates,Preservation events,Date of preservation events,Preservation events,Date of preservation events,Preservation events,Date of preservation events,Governmental rights holder,Institution or private person,Distribution rights of the artefact,Identifier of the surrogate,Identifier of the digital image,0
,,ARTDaksinaKosala000046,,,,,,,,DHARMA,DaksinaKosala,CCO,ARTDaksinaKosala000046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,
,,ARTDaksinaKosala000047,,,,,,,,DHARMA,DaksinaKosala,CCO,ARTDaksinaKosala000047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,
,,ARTDaksinaKosala000048,,,,,,,,DHARMA,DaksinaKosala,CCO,ARTDaksinaKosala000048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,
,,ARTDaksinaKosala000049,,,,,,,,DHARMA,DaksinaKosala,CCO,ARTDaksinaKosala000049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,
,,ARTDaksinaKosala000050,,,,,,,,DHARMA,DaksinaKosala,CCO,ARTDaksinaKosala000050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,
,,ARTDaksinaKosala000051,,,,,,,,DHARMA,DaksinaKosala,CCO,ARTDaksinaKosala000051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,
,,ARTDaksinaKosala000052,,,,,,,,DHARMA,DaksinaKosala,CCO,ARTDaksinaKosala000052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,
,,ARTDaksinaKosala000053,,,,,,,,DHARMA,DaksinaKosala,CCO,ARTDaksinaKosala000053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,
,,ARTDaksinaKosala000054,,,,,,,,DHARMA,DaksinaKosala,CCO,ARTDaksinaKosala000054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,
,,ARTDaksinaKosala000055,,,,,,,,DHARMA,DaksinaKosala,CCO,ARTDaksinaKosala000055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,
,,ARTDaksinaKosala000056,,,,,,,,DHARMA,DaksinaKosala,CCO,ARTDaksinaKosala000056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,
,,ARTDaksinaKosala000057,,,,,,,,DHARMA,DaksinaKosala,CCO,ARTDaksinaKosala000057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,
,,ARTDaksinaKosala000058,,,,,,,,DHARMA,DaksinaKosala,CCO,ARTDaksinaKosala000058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,
,,ARTDaksinaKosala000059,,,,,,,,DHARMA,DaksinaKosala,CCO,ARTDaksinaKosala000059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,
,,ARTDaksinaKosala000060,,,,,,,,DHARMA,DaksinaKosala,CCO,ARTDaksinaKosala000060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,
,,ARTDaksinaKosala000061,,,,,,,,DHARMA,DaksinaKosala,CCO,ARTDaksinaKosala000061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,
,,ARTDaksinaKosala000062,,,,,,,,DHARMA,DaksinaKosala,CCO,ARTDaksinaKosala000062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rights reserved,,,
